open,high,low,close,adj_close,volume,sma_20,sma_50,sma_200,ema_12,ema_26,ema_50,rsi_14,bb_hband_20,bb_lband_20,bb_mavg_20,macd,macd_signal,macd_diff,obv
274.7669982910156,275.6700134277344,272.51300048828125,273.614013671875,273.614013671875,15332500,275.08944778442384,252.2271987915039,247.0084701538086,278.61869481189325,270.45188708724964,260.1035436579956,52.616581033386154,302.73944968818745,247.43944588066023,275.08944778442384,8.166807724643604,10.157896492439876,-1.9910887677962723,160312996
273.4989929199219,278.9809875488281,272.9599914550781,278.9809875488281,278.9809875488281,22711400,275.88489761352537,253.20301849365234,246.83213012695313,278.6744321560371,271.08367230662583,260.84383557528315,55.93160800923274,303.0167351154444,248.75306011160632,275.88489761352537,7.590759849411256,9.644469163834152,-2.053709314422896,183024396
278.8819885253906,280.5469970703125,275.41900634765625,275.8330078125,275.8330078125,22930700,276.7454978942871,254.26115875244142,246.63613510131836,278.2372899493391,271.4354749366906,261.43164625125246,53.56446459316751,302.6986517754463,250.7923440131279,276.7454978942871,6.80181501264849,9.075938333597021,-2.274123320948531,160093696
275.6570129394531,277.6659851074219,274.3810119628906,277.22198486328125,277.22198486328125,19389800,277.8359970092773,255.28953857421874,246.61683502197266,278.08108916686865,271.8641053016232,262.0508752164301,54.47988056179031,301.87411770246655,253.79787631608812,277.8359970092773,6.216983865245425,8.504147439926703,-2.287163574681278,179483496
277.34100341796875,278.1109924316406,275.71600341796875,276.04901123046875,276.04901123046875,18531300,278.82164764404297,256.2930389404297,246.67610504150392,277.7684617920379,272.17409833338957,262.59982172678457,53.520336928077334,300.77919519659,256.8641000914959,278.82164764404297,5.594363458648331,7.922190643671029,-2.3278271850226977,160952196
276.0050048828125,289.25299072265625,275.2539978027344,288.27801513671875,288.27801513671875,37199400,280.19124908447264,257.572119140625,246.7451251220703,279.38531615275804,273.3669810595621,263.6068097036447,61.19418073849432,300.8837030221596,259.4987951467857,280.19124908447264,6.018335093195958,7.541419533576016,-1.5230844403800576,198151596
288.16400146484375,290.7330017089844,286.00201416015625,288.6969909667969,288.6969909667969,20662200,281.0304489135742,258.8470190429687,246.75766510009765,280.817881508764,274.5025373489869,264.5907383806311,61.429139627782874,301.6732261823852,260.38767164476326,281.0304489135742,6.315344159777112,7.296204458816235,-0.9808602990391231,218813796
288.6400146484375,293.052001953125,287.70599365234375,292.6860046386719,292.6860046386719,16032300,282.21324920654297,260.18835906982423,246.74941009521484,282.6437466056729,275.8494608519265,265.69251352800524,63.68368038884684,302.6802084922958,261.74628992079016,282.21324920654297,6.794285753746408,7.19582071780227,-0.40153496405586253,234846096
292.6390075683594,297.77398681640625,287.45001220703125,293.6239929199219,293.6239929199219,30592000,283.58409881591797,261.6032189941406,246.80078506469727,284.3330152694035,277.1660928569632,266.78786566102156,64.21338764871209,303.23557520254064,263.9326224292953,283.58409881591797,7.166922412440329,7.190041056729882,-0.02311864428955346,265438096
293.63299560546875,296.64898681640625,293.4230041503906,294.427001953125,294.427001953125,25453600,284.7661987304688,262.9219790649414,246.8208801269531,285.88593629766837,278.44467871593815,267.8717533587511,64.68824277109033,304.03641994558154,265.495977515356,284.7661987304688,7.441257581730213,7.240284361729948,0.20097322000026452,290891696
294.4840087890625,294.5360107421875,288.7770080566406,289.5899963378906,289.5899963378906,24672600,285.7842987060547,264.13281890869143,246.8948501586914,286.4557916884718,279.27025779904574,268.7234491618546,59.56144042335605,303.7721272694462,267.7964701426632,285.7842987060547,7.18553388942604,7.2293342672691665,-0.043800377843126626,266219096
289.1029968261719,290.1260070800781,286.5679931640625,287.72198486328125,287.72198486328125,21635800,285.92569732666016,265.31119873046873,247.00516006469726,286.65059063844245,279.8963116556558,269.46848977759686,57.66084425651522,303.92776403445737,267.92363061886294,285.92569732666016,6.754278982786673,7.134323210372668,-0.3800442275859952,244583296
287.6960144042969,288.9590148925781,282.343994140625,284.6499938964844,284.6499938964844,23629100,285.5024475097656,266.4100985717773,247.08943008422852,286.34280652429504,280.24843626608754,270.06384288029835,54.576549942421586,303.20403335589094,267.80086166364026,285.5024475097656,6.094370258207505,6.926332619939636,-0.8319623617321312,220954196
284.6860046386719,284.9320068359375,278.11199951171875,281.60101318359375,281.60101318359375,18995000,284.0391479492188,267.4424789428711,247.36813018798827,285.61329985649485,280.3486271488658,270.516280931408,51.62497318625803,297.4239620241451,270.65433387429243,284.0391479492188,5.2646727076290745,6.594000637477524,-1.32932792984845,201959196
280.4490051269531,283.0320129394531,277.52899169921875,282.614013671875,282.614013671875,17722200,283.56714935302733,268.44671936035155,247.89068527221679,285.1518712127072,280.51643355797756,270.99070182319105,52.54327497160951,296.4442916665576,270.69000703949706,283.56714935302733,4.635437654729628,6.202288040927946,-1.5668503861983174,219681396
282.8059997558594,285.47100830078125,280.2330017089844,281.22698974609375,281.22698974609375,21474100,283.2552993774414,269.40039916992185,248.24760025024415,284.54804329476667,280.5690673496899,271.3921248789912,51.11256736186686,296.0416197895968,270.46897896528606,283.2552993774414,3.9789759450767974,5.757625621757716,-1.778649676680919,198207296
281.2250061035156,285.7149963378906,281.2250061035156,285.2179870605469,285.2179870605469,21908700,283.2247482299805,270.3682989501953,248.63320518493651,284.6511115664252,280.9134317727163,271.93431555277766,54.91650583126284,295.98922579454813,270.46027066541285,283.2247482299805,3.737679793708878,5.3536364561479495,-1.6159566624390713,220115996
